ISIN,Stock,Date,Close,LogReturn
AT0000743059,omv-ag,2024-10-07,39.7,-0.0035202450232527994
AT0000A21KS2,immofinanz-ag,2024-10-07,17.82,-0.006711434587986916
AT0000644505,lenzing-ag,2024-10-07,34.65,0.004338401598598141
AT0000922554,rosenbauer-international-ag,2024-10-07,35.3,-0.005649732542119133
AT0000938204,mayr-melnhof-karton-ag,2024-10-07,87.9,0.0
AT0000908504,vienna-insurance-group-ag,2024-10-07,28.95,-0.005167970158442673
AT0000831706,wienerberger-ag,2024-10-07,28.36,-0.008427016161880227
AT0000937503,voestalpine-ag,2024-10-07,21.72,-0.012808958292581248
AT0000641352,ca-immobilien-anlagen-ag,2024-10-07,26.6,-0.007490671729157626
AT0000999982,ATX,2024-10-07,3612.4,0.0008751475292822214
AT0000758305,palfinger-ag,2024-10-07,21.8,-0.0022909517465558244
AT0000746409,verbund-ag-kat-a,2024-10-07,73.1,-0.00885262846419647
AT0000741053,evn-ag,2024-10-07,26.7,-0.024052963461786415
AT0000785555,semperit-ag-holding,2024-10-07,11.36,-0.0035149421074446084
AT0000652011,erste-group-bank-ag,2024-10-07,48.92,0.006974387244945195
AT00000VIE62,flughafen-wien-ag,2024-10-07,52.2,0.023256862164267398
AT0000821103,uniqa-insurance-group-ag,2024-10-07,7.38,0.004073325387635869
